                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.99234,                  0.811,                 1.1837,                0.72602,                0.78534,                0.83245,                0.62369,                    nan,                    nan,                    nan,              0.0076735,              0.0076735,              0.0076735
                     50,                0.97703,                0.79921,                 1.1761,                0.74498,                0.76072,                0.83384,                0.62113,                    nan,                    nan,                    nan,               0.007624,               0.007624,               0.007624
                     51,                0.97844,                0.79581,                 1.1785,                0.75692,                0.78308,                0.79554,                0.58946,                    nan,                    nan,                    nan,              0.0075745,              0.0075745,              0.0075745
                     52,                0.97698,                0.79453,                 1.1761,                0.74688,                0.77956,                0.84596,                0.62776,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                     53,                0.97425,                 0.7883,                 1.1747,                0.72164,                 0.7798,                0.78469,                0.58353,                    nan,                    nan,                    nan,              0.0074755,              0.0074755,              0.0074755
                     54,                 0.9745,                 0.7878,                 1.1706,                0.77277,                0.77405,                0.85002,                0.63478,                    nan,                    nan,                    nan,               0.007426,               0.007426,               0.007426
                     55,                0.97288,                  0.775,                 1.1734,                0.75542,                0.77214,                0.82446,                0.61409,                    nan,                    nan,                    nan,              0.0073765,              0.0073765,              0.0073765
                     56,                0.96107,                0.76954,                 1.1624,                 0.7332,                0.76764,                0.78826,                0.58113,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                     57,                0.96569,                0.77371,                 1.1697,                0.71326,                0.82085,                0.83072,                 0.6174,                    nan,                    nan,                    nan,              0.0072775,              0.0072775,              0.0072775
                     58,                0.96619,                  0.771,                 1.1691,                0.71072,                0.79657,                0.78882,                0.58212,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                     59,                0.96227,                0.76462,                 1.1615,                0.70449,                0.81117,                0.80298,                0.59332,                    nan,                    nan,                    nan,              0.0071785,              0.0071785,              0.0071785
                     60,                0.95662,                0.75411,                 1.1627,                0.75473,                0.77786,                 0.8309,                0.62639,                    nan,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                     61,                0.95908,                0.75494,                 1.1605,                0.70858,                0.81358,                0.81139,                0.59783,                    nan,                    nan,                    nan,              0.0070795,              0.0070795,              0.0070795
                     62,                0.95436,                0.74673,                 1.1564,                0.70867,                0.79367,                0.81985,                0.60915,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     63,                0.94685,                0.74303,                 1.1566,                0.72649,                0.79119,                0.81686,                0.61193,                    nan,                    nan,                    nan,              0.0069805,              0.0069805,              0.0069805
                     64,                0.94491,                0.73195,                 1.1546,                0.76564,                0.78715,                0.83143,                0.61903,                    nan,                    nan,                    nan,               0.006931,               0.006931,               0.006931
                     65,                0.94752,                0.73063,                  1.153,                0.73758,                0.78505,                0.79669,                0.58967,                    nan,                    nan,                    nan,              0.0068815,              0.0068815,              0.0068815
                     66,                0.93899,                0.72442,                 1.1487,                0.74667,                0.76656,                0.80161,                0.59497,                    nan,                    nan,                    nan,               0.006832,               0.006832,               0.006832
                     67,                0.93851,                0.72451,                 1.1471,                 0.7557,                0.75239,                0.81252,                0.61365,                    nan,                    nan,                    nan,              0.0067825,              0.0067825,              0.0067825
                     68,                  0.939,                0.72145,                  1.148,                0.74366,                0.77873,                0.82523,                0.61097,                    nan,                    nan,                    nan,               0.006733,               0.006733,               0.006733
                     69,                0.93425,                0.71846,                 1.1455,                0.72149,                0.76257,                0.79296,                 0.5901,                    nan,                    nan,                    nan,              0.0066835,              0.0066835,              0.0066835
                     70,                0.93692,                0.71628,                 1.1444,                0.70586,                0.75711,                0.75413,                0.55522,                    nan,                    nan,                    nan,               0.006634,               0.006634,               0.006634
                     71,                0.93633,                0.70942,                 1.1474,                0.72091,                0.76899,                0.77644,                0.56751,                    nan,                    nan,                    nan,              0.0065845,              0.0065845,              0.0065845
                     72,                 0.9311,                0.70516,                 1.1412,                 0.7406,                0.73559,                0.80137,                0.59506,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                     73,                0.93012,                0.69845,                 1.1457,                0.71245,                0.76778,                0.79797,                0.59254,                    nan,                    nan,                    nan,              0.0064855,              0.0064855,              0.0064855
                     74,                0.92943,                0.68958,                 1.1365,                 0.6984,                 0.7867,                0.79786,                0.58792,                    nan,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                     75,                0.92231,                0.68929,                 1.1396,                0.74122,                0.77115,                0.81241,                0.60524,                    nan,                    nan,                    nan,              0.0063865,              0.0063865,              0.0063865
                     76,                0.92199,                0.68152,                 1.1378,                0.66723,                0.81418,                0.80294,                0.59671,                    nan,                    nan,                    nan,               0.006337,               0.006337,               0.006337
                     77,                0.92093,                0.68224,                 1.1355,                0.74377,                0.71081,                  0.785,                0.58325,                    nan,                    nan,                    nan,              0.0062875,              0.0062875,              0.0062875
                     78,                0.92654,                 0.6771,                 1.1363,                0.75275,                0.71785,                0.78709,                0.57856,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                     79,                0.91776,                0.67192,                 1.1333,                0.76503,                0.75829,                 0.8052,                0.59971,                    nan,                    nan,                    nan,              0.0061885,              0.0061885,              0.0061885
                     80,                0.92138,                0.67666,                 1.1375,                0.77768,                0.76009,                0.80337,                0.59853,                    nan,                    nan,                    nan,               0.006139,               0.006139,               0.006139
